順位	ナンバー	氏名	年齢	所属	記録	スイム記録	バイク記録	ラン記録
44	32	春井 久永	45		1:54:22	0:23:13	1:04:16	0:26:53
45	55	大澤 拓児	41		1:55:00	0:31:01	0:58:46	0:25:13
46	119	中田 博之	52		1:55:24	0:29:22	1:03:52	0:22:10
47	133	山本 昭弘	48		1:56:08	0:29:15	1:01:32	0:25:21
48	108	高尾 昌幸	33		1:56:10	0:26:26	1:03:10	0:26:34
49	72	松島 弘樹	47		1:56:37	0:24:27	1:04:27	0:27:43
50	14	森脇 幹夫	62		1:56:47	0:24:43	1:06:17	0:25:47
51	38	De la Toba Fonseca Ar	ma4n1do		1:56:58	0:32:38	0:58:16	0:26:04
52	43	高垣 理記	33		1:57:08	0:26:07	1:08:08	0:22:53
53	100	坂田 憲治	25		1:57:10	0:31:30	1:03:31	0:22:09
54	140	大原 憲二	44	自然隊	1:57:24	0:27:59	1:06:01	0:23:24
55	27	井原 善文	45		1:58:26	0:29:42	1:05:05	0:23:39
56	73	中山 工	49		1:58:52	0:37:24	1:00:36	0:20:52
57	23	吉田 悠	53		1:58:58	0:27:58	1:04:39	0:26:21
58	128	藤山 裕一	45	みっちゃんSC	1:59:02	0:29:45	1:03:30	0:25:47
59	143	尼崎 佳三	64		1:59:06	0:31:43	1:05:36	0:21:47
60	106	三木 昌	32		1:59:46	0:30:53	1:02:06	0:26:47
61	51	原 聖雅	64		2:00:35	0:27:58	1:04:43	0:27:54
62	66	沢田 好章	66		2:00:37	0:30:35	1:05:12	0:24:50
63	137	村上 裕之	39		2:00:58	0:28:12	1:05:01	0:27:45
64	50	三角 典生	51		2:01:02	0:34:53	1:01:55	0:24:14
65	30	久保田 悠生	27		2:01:10	0:30:50	1:06:29	0:23:51
66	60	池田 英之介	51		2:01:31	0:29:00	1:00:58	0:31:33
67	62	山嵜 清張	55	TEAM SAKI	2:01:53	0:27:59	1:07:41	0:26:13
68	36	坂元 靖昌	37		2:02:25	0:26:44	1:09:50	0:25:51
69	2	堅田 嘉博	45		2:02:25	0:32:47	1:05:35	0:24:03
70	142	戸田 貴英	41		2:03:06	0:30:44	1:08:09	0:24:13
71	123	斉藤 貴司	53	えびらぶ	2:03:14	0:30:49	1:06:28	0:25:57
72	35	青木 伸也	38		2:03:29	0:26:37	1:08:06	0:28:46
73	84	桶本 幸見	62		2:04:08	0:31:03	1:07:15	0:25:50
74	7	深坂 健太郎	61		2:04:09	0:22:50	1:07:19	0:34:00
75	45	阪中 友哉	25		2:04:18	0:31:00	1:10:01	0:23:17
76	53	塩谷 健太郎	32		2:04:33	0:26:28	1:07:35	0:30:30
77	116	岸本 啓司	46	キシモトズ	2:04:49	0:35:14	1:06:27	0:23:08
78	56	森園 航大	20	愛知大学	2:05:26	0:29:11	1:09:54	0:26:21
79	124	松田 英成	54		2:05:36	0:36:04	1:05:24	0:24:08
80	70	吉川 一義	61		2:05:59	0:28:34	1:09:57	0:27:28
81	13	小池 裕司	25		2:06:18	0:28:42	1:14:33	0:23:03
82	111	中野 秀昭	38		2:06:34	0:26:42	1:12:19	0:27:33
83	81	小原 光	71	津マリン製作所	2:06:46	0:30:40	1:03:48	0:32:18
84	42	山田 通成	30		2:06:47	0:29:27	1:16:16	0:21:04
85	6	松井 直人	51		2:06:51	0:29:16	1:11:11	0:26:24
86	114	宗形 充弘	42		2:07:06	0:31:26	1:10:39	0:25:01
87	88	西原 直明	30	くじら	2:07:15	0:36:45	1:06:46	0:23:44
88	21	土持 航	39		2:07:24	0:31:53	1:02:02	0:33:29
89	138	藤本 貴士	46	Ｒｕｎｃｏｍ	2:07:34	0:36:58	1:06:58	0:23:38
90	18	平井 浩司	50		2:07:41	0:36:21	1:06:48	0:24:32
91	87	増田 喜久	46		2:08:05	0:31:39	1:11:46	0:24:40
92	12	大辻 裕一	45	コーンズ	2:08:06	0:30:47	1:11:46	0:25:33
93	121	川合 智二	52	KAWAI DC	2:08:30	0:29:25	1:09:36	0:29:29
94	118	横山 満春	49	石田軍団	2:09:47	0:25:38	1:16:33	0:27:36
95	46	関 堅司	43		2:09:49	0:31:18	1:06:44	0:31:47
96	109	名取 和彦	34		2:10:06	0:33:41	1:10:32	0:25:53
97	144	杉本 太一	44		2:10:11	0:29:26	1:13:59	0:26:46
98	125	国本 恭	55		2:10:32	0:31:27	1:13:30	0:25:35
99	78	福井 宏昭	56		2:10:43	0:31:43	1:11:47	0:27:13
100	135	篠原 充	46	㈱中原建材店	2:10:43	0:33:51	1:08:58	0:27:54
101	136	平岩 秀元	46		2:10:54	0:37:03	1:09:01	0:24:50
102	9	湊 康行	55		2:11:26	0:29:18	1:05:32	0:36:36
103	31	中野 航	39		2:11:37	0:24:22	1:05:18	0:41:57
104	44	梶原 亮平	33		2:12:46	0:43:18	1:05:10	0:24:18
105	20	門場 靖司	62	門場靖司	2:13:10	0:34:11	1:09:30	0:29:29
106	67	川畑 慎次	62		2:13:58	0:32:31	1:11:12	0:30:15
107	52	土佐 大樹	38		2:15:33	0:38:21	1:11:33	0:25:39
108	126	林 龍一	67		2:15:39	0:34:40	1:13:22	0:27:37
109	39	柴田 嘉宏	47		2:16:32	0:31:15	1:15:10	0:30:07
110	127	宮下 孝司	69		2:16:38	0:34:15	1:11:45	0:30:38
111	141	前家 正起	56	兵庫県姫路農業改良普及センター	2:16:41	0:38:21	1:09:02	0:29:18
112	80	佐藤 有一	69	ゆうテック	2:17:53	0:37:29	1:12:28	0:27:56
113	48	野上 慶太	28		2:19:01	0:48:49	1:04:34	0:25:38
114	40	松岡 智之	42		2:21:21	0:39:17	1:16:40	0:25:24
115	34	田中 隆之	45		2:21:40	0:34:49	1:16:58	0:29:53
116	75	中野 朋一	36		2:22:45	0:44:04	1:07:58	0:30:43
117	134	松浦 努	47		2:23:10	0:43:15	1:06:29	0:33:26
118	57	森岡 将臣	49		2:23:28	0:43:00	1:14:30	0:25:58
119	131	矢葺 広和	43		2:24:18	0:36:12	1:18:09	0:29:57
120	103	大野 正紀	28		2:26:12	0:32:01	1:13:15	0:40:56
121	115	片山 明	43		2:26:34	0:37:20	1:16:57	0:32:17
122	89	大出 英毅	44	くじら	2:27:25	0:32:37	1:27:09	0:27:39
123	91	竹内 康哲	54		2:28:38	0:38:24	1:17:50	0:32:24
124	3	堀川 巳清	66	シロッコ	2:33:24	0:42:39	1:19:40	0:31:05
125	25	中崎 一平	40		2:39:40	0:46:11	1:19:35	0:33:54
1	185	神末 桃代	25		1:49:37	0:22:23	1:04:03	0:23:11
2	191	益岡 智世	29		1:54:38	0:23:48	1:07:14	0:23:36
3	188	奥田 抄子	27		1:56:21	0:22:21	1:07:44	0:26:16
4	194	矢野 知子	49		2:03:23	0:26:54	1:08:57	0:27:32
5	183	弓狩 加代子	40		2:09:01	0:30:11	1:07:57	0:30:53
6	190	今井 ゆかり	37	サイクロン	2:10:53	0:39:34	1:04:07	0:27:12
7	186	明石 利枝	50		2:11:06	0:32:48	1:14:52	0:23:26
8	192	齊藤 けい	39		2:16:02	0:42:06	1:08:36	0:25:20
9	195	井上 夏美	30		2:16:15	0:39:26	1:11:35	0:25:14
10	193	泉 有為	33	Team nont-dell	2:26:20	0:41:05	1:15:05	0:30:10
11	182	山田 里陽	65		2:27:53	0:38:18	1:19:20	0:30:15
12	181	湊 恵美	51		2:30:52	0:34:46	1:15:56	0:40:10
13	187	宮池 結子	25		2:32:48	0:43:25	1:13:17	0:36:06
14	189	田中 敏子	69		2:35:46	0:40:27	1:19:21	0:35:58
15	184	平岡 玲子	62		2:51:49	0:38:29	1:31:54	0:41:26
1	355	片山 草太	30		2:17:38	0:25:48	1:10:26	0:41:24
2	276	加野 拓海	21	近畿大学体育会トライアスロン部	2:19:56	0:27:27	1:12:54	0:39:35
3	287	大石 敏夫	42	グランデパール播磨	2:23:22	0:31:10	1:08:57	0:43:15
4	302	丹 宇響	34	株式会社バイシクルカラー	2:23:40	0:29:00	1:08:15	0:46:25
5	366	倉田 芳信	41		2:24:35	0:29:57	1:10:13	0:44:25
6	260	石端 真和	30		2:24:58	0:25:19	1:13:20	0:46:19
7	281	大貫 和基	18	同志社大学	2:27:01	0:29:04	1:12:27	0:45:30
8	414	金子 健太	25	京都トライアスロンクラブ	2:27:31	0:31:21	1:12:04	0:44:06
9	203	堀後 樹代志	39	打ち上げまでがトライアスロン	2:28:28	0:34:04	1:05:23	0:49:01
10	310	加藤 正樹	47		2:29:03	0:31:28	1:14:22	0:43:13
11	289	前家 涼佑	25	第一三共陸上部	2:29:16	0:33:46	1:15:28	0:40:02
12	242	松下 友吾	47		2:29:26	0:33:17	1:10:15	0:45:54
13	271	安東 毅	39	ララ学園	2:29:39	0:32:55	1:16:08	0:40:36
14	365	森永 幸希	41		2:31:08	0:28:39	1:13:57	0:48:32
15	250	花原 敬	37		2:32:53	0:30:43	1:16:05	0:46:05
16	409	江草 幸一	22		2:33:55	0:29:14	1:15:07	0:49:34
17	373	山本 朋貴	44	ストラーダトライアスロンクラブ	2:34:47	0:33:39	1:07:56	0:53:12
18	222	一ツ屋 直樹	42	Ys TRINE	2:34:53	0:30:33	1:16:56	0:47:24
19	352	赤坂 健太	27		2:35:04	0:33:17	1:18:12	0:43:35
20	239	木坂 敢	44		2:35:43	0:29:12	1:10:07	0:56:24
21	248	中山 雄樹	27		2:36:33	0:36:16	1:13:07	0:47:10
22	405	川中 雅史	39	チームＡＳＴ	2:36:57	0:39:05	1:14:59	0:42:53
23	292	前田 吉敏	62	辰巳工業	2:38:43	0:32:29	1:19:52	0:46:22
24	319	丸岡 正和	44	チーム AST	2:38:47	0:28:24	1:14:38	0:55:45
25	219	松本 直哉	40		2:39:03	0:31:02	1:16:09	0:51:52
26	214	平川 貴嗣	38	ボラッチョ	2:39:24	0:32:31	1:14:04	0:52:49
27	247	藤枝 譲	37		2:39:45	0:35:40	1:19:02	0:45:03
28	211	越川 友幸	41		2:40:03	0:34:01	1:14:19	0:51:43
29	244	奥田 義彦	42		2:40:20	0:29:23	1:17:05	0:53:52
30	402	長浜 敏洋	20	明石工業高等専門学校	2:41:03	0:33:23	1:17:45	0:49:55
31	412	松崎 通弘	29	京都トライアスロンクラブ	2:41:54	0:33:41	1:16:20	0:51:53
32	216	井田 勲	47	シロッコ	2:42:25	0:31:57	1:16:14	0:54:14
33	273	安永 俊英	35		2:44:00	0:42:32	1:15:40	0:45:48
34	261	中西 晋	53		2:44:06	0:34:32	1:19:19	0:50:15
35	202	西平 俊	37	打ち上げまでがトライアスロン！！	2:45:01	0:33:49	1:18:10	0:53:02
36	220	田中 健一	39		2:45:16	0:35:42	1:18:44	0:50:50
37	359	池尾 圭	33		2:45:38	0:30:37	1:18:54	0:56:07
38	268	長谷川 貴志	30		2:45:45	0:36:08	1:24:21	0:45:16
39	399	橋本 潔	30		2:45:47	0:37:44	1:20:09	0:47:54
40	316	上之薗 崇	46		2:46:19	0:34:41	1:22:24	0:49:14
41	233	石田 定幸	49	福山鉄人会	2:46:27	0:35:56	1:15:52	0:54:39
42	303	春田 幸一	42	打ち上げまでがトライアスロン??	2:46:30	0:34:21	1:15:34	0:56:35
43	395	藤木 和也	31		2:47:08	0:33:33	1:19:43	0:53:52
44	267	畠山 重仁	35	ストラーダ・トライスロンクラブ	2:47:25	0:31:25	1:18:00	0:58:00
45	230	安田 圭宏	48	株式会社ヤスダケミカル	2:47:48	0:42:06	1:21:19	0:44:23
46	423	香山 芳範	40		2:47:48	0:36:48	1:21:59	0:49:01
47	217	川西 太一郎	45		2:47:56	0:37:14	1:17:58	0:52:44
48	286	三宅 弘記	34	TEAM Ys TRINE	2:48:14	0:35:53	1:17:12	0:55:09
49	345	香本 昌輝	29	渋川ベース	2:49:16	0:36:56	1:17:36	0:54:44
50	394	西村 大輔	34		2:49:24	0:37:15	1:19:23	0:52:46
51	336	冨田 斗真	21	奈良医大水泳部	2:49:53	0:30:30	1:22:53	0:56:30
52	358	生田 圭二	32		2:49:58	0:39:11	1:20:27	0:50:20
53	288	中野 洋明	39		2:50:09	0:30:24	1:19:31	1:00:14
54	278	牧野 弘	35		2:50:15	0:28:46	1:23:28	0:58:01
55	353	塩原 卓	28		2:50:17	0:38:45	1:20:45	0:50:47
56	298	山下 良平	43		2:50:23	0:28:11	1:19:37	1:02:35
57	342	今井 博隆	52	Ｔｅａｍ Ｒｏｃｋ	2:51:23	0:34:13	1:20:42	0:56:28
58	275	西橋 雅人	35	西橋まさと	2:52:06	0:42:41	1:15:17	0:54:08
59	420	笠井 慎二	48		2:52:38	0:40:50	1:19:23	0:52:25
60	299	藤岡 亮一	31	SUSHI LABEL	2:53:04	0:38:47	1:20:00	0:54:17
61	356	三浦 翔太	31		2:53:08	0:26:21	1:28:56	0:57:51
62	236	松富 圭介	50		2:53:10	0:36:31	1:21:43	0:54:56
63	421	神田 良太	26		2:53:55	0:36:53	1:23:22	0:53:40
64	308	板東 将庸	42		2:54:33	0:27:30	1:22:39	1:04:24
65	237	道清 晃由	40		2:54:38	0:42:31	1:20:07	0:52:00
66	327	上野 泰司	47		2:54:52	0:39:18	1:22:48	0:52:46
67	294	治田 直樹	30		2:55:02	0:37:30	1:27:40	0:49:52
68	285	井本 浩史	32	大腿四頭筋ズ	2:55:17	0:37:49	1:22:37	0:54:51
69	213	伊藤 広太	32		2:55:21	0:34:29	1:27:25	0:53:27
70	368	堂林 洋利	42		2:55:58	0:38:29	1:22:20	0:55:09
71	374	川畑 貴史	45		2:56:15	0:41:21	1:21:54	0:53:00
72	324	中塚 篤志	37		2:56:36	0:36:40	1:18:36	1:01:20
73	340	坂部 勇志	57	タカトラ	2:56:44	0:39:46	1:18:49	0:58:09
74	215	酒井 祐人	41	打ちハゲまでがトライアスロン	2:57:08	0:41:57	1:25:42	0:49:29
75	231	墨 真太郎	41		2:57:17	0:32:52	1:28:37	0:55:48
76	311	矢野 秀一	54	走学ゼミ	2:57:33	0:36:37	1:25:41	0:55:15
77	400	井関 毅	51	熊取南中学校	2:57:43	0:38:40	1:26:50	0:52:13
78	279	小松原 隆聡	41	nont-dell	2:57:45	0:37:08	1:20:48	0:59:49
79	318	亀井 教郎	46	アイアンタートルズ	2:58:04	0:32:44	1:22:53	1:02:27
80	382	中川 亨	49		2:58:11	0:38:36	1:25:50	0:53:45
81	283	瀬間 竜一	49	AST	2:58:15	0:37:29	1:26:27	0:54:19
82	208	山陰 篤史	36	打ち上げまでがトライアスロン	2:58:29	0:29:30	1:22:23	1:06:36
83	238	川勝 誠一朗	23		2:58:29	0:39:13	1:31:16	0:48:00
84	295	東 芳忠	47		2:58:40	0:42:44	1:24:39	0:51:17
85	396	大久保 洋平	40		2:58:43	0:40:14	1:24:24	0:54:05
86	293	永井 友一郎	41		2:58:54	0:38:31	1:27:13	0:53:10
87	241	船越 極	44	チームほそかわスポール	2:59:07	0:40:05	1:21:18	0:57:44
88	413	岩橋 誠	53		2:59:12	0:44:00	1:22:26	0:52:46
89	223	冨鶴 勇輝	33	Ys TRINE	2:59:18	0:39:41	1:24:54	0:54:43
90	397	竹林 潤治	55	OBA	2:59:50	0:36:57	1:28:37	0:54:16
91	245	廣山 是慶	27		2:59:51	0:39:26	1:26:29	0:53:56
92	410	山井 浩気	25		2:59:53	0:37:20	1:26:06	0:56:27
93	272	石川 大介	42		2:59:56	0:41:07	1:23:42	0:55:07
94	360	馬場 正輝	37	チーム伊織	3:00:11	0:41:17	1:24:43	0:54:11
95	401	松本 晃	30		3:00:46	0:42:35	1:21:02	0:57:09
96	306	衣笠 圭一郎	44		3:00:48	0:35:28	1:26:59	0:58:21
97	416	空 秀俊	42	アイアンタートルズ	3:00:48	0:43:41	1:28:09	0:48:58
98	347	中内 晋二郎	35		3:01:13	0:44:07	1:19:07	0:57:59
99	419	中屋 政利	51	はりま十水堂	3:01:40	0:35:58	1:29:31	0:56:11
100	367	山本 宏之	42		3:03:04	0:34:21	1:36:53	0:51:50
101	332	永原 哲也	47		3:03:06	0:38:58	1:22:17	1:01:51
102	270	木村 朋宏	29		3:03:18	0:35:01	1:18:54	1:09:23
103	263	岡本 邦裕	46		3:03:24	0:40:13	1:27:43	0:55:28
104	392	笹倉 英男	65	type1	3:03:54	0:38:43	1:26:42	0:58:29
105	209	高松 大地	29		3:03:57	0:36:43	1:26:40	1:00:34
106	415	荒井 直人	51	千里らんらん	3:04:48	0:45:45	1:28:27	0:50:36
107	317	堀内 峰	42		3:05:11	0:40:26	1:21:02	1:03:43
108	249	栗本 健児	33		3:05:24	0:37:26	1:30:50	0:57:08
109	320	松本 健二	35		3:05:31	0:42:23	1:23:31	0:59:37
110	376	林 健	46		3:05:41	0:39:14	1:29:30	0:56:57
111	300	枝村 龍樹	42	枝村龍樹	3:05:53	0:41:24	1:21:42	1:02:47
112	369	平塚 洋介	42		3:06:39	0:45:10	1:22:15	0:59:14
113	335	山口 徹也	50		3:06:46	0:42:57	1:22:31	1:01:18
114	313	稲葉 萬久	45		3:07:13	0:43:36	1:24:56	0:58:41
115	226	阿南 快	19	関西福祉大学	3:07:49	0:43:45	1:26:51	0:57:13
116	418	船越 寛之	41		3:07:54	0:39:07	1:30:00	0:58:47
117	235	松嶋 良太	23		3:08:19	0:30:12	1:33:34	1:04:33
118	337	岩本 真一	52		3:08:49	0:36:30	1:27:06	1:05:13
119	339	高橋 和宏	52		3:11:14	0:42:50	1:22:49	1:05:35
120	341	須方 崇夫	43		3:11:25	0:41:59	1:29:12	1:00:14
121	351	田中 宏征	26		3:11:40	0:44:21	1:33:04	0:54:15
122	304	石田 晋也	31		3:11:45	0:50:19	1:25:16	0:56:10
123	224	伊津野 英昭	49	内平野自転車同好会	3:12:09	0:44:43	1:21:21	1:06:05
124	407	重永 拓郎	42		3:12:24	0:47:26	1:25:25	0:59:33
125	364	横山 輝弘	41		3:12:45	0:49:57	1:34:59	0:47:49
126	252	岩見 具征	23		3:13:07	0:36:15	1:39:51	0:57:01
127	338	山口 祐	36		3:13:13	0:46:29	1:32:27	0:54:17
128	406	馬淵 武	43	ヒューマンリンク・ボディラボ	3:13:52	0:45:34	1:25:08	1:03:10
129	381	大森 潤一	48		3:14:00	0:37:46	1:29:47	1:06:27
130	331	上坪 正人	52	姫路ラビトルズ	3:14:39	0:39:10	1:29:45	1:05:44
131	291	松本 淳	27		3:14:49	0:40:16	1:29:40	1:04:53
132	205	三瀬 耕平	38	打ち上げまでかトライアスロン！！	3:14:53	0:38:02	1:24:15	1:12:36
133	228	土屋 雄嗣	50		3:15:19	0:36:58	1:29:39	1:08:42
134	348	岡田 健三	22		3:15:30	0:46:01	1:29:10	1:00:19
135	378	高柳 淳一	47		3:15:47	0:31:56	1:31:38	1:12:13
136	269	吉川 達也	28		3:16:15	0:44:52	1:24:45	1:06:38
137	210	三木 健	51		3:16:26	0:52:32	1:38:17	0:45:37
138	266	近藤 良平	37		3:16:32	0:43:43	1:39:10	0:53:39
139	284	新田 隼也	36		3:17:10	0:39:48	1:22:14	1:15:08
140	297	齋藤 槙吾	31		3:17:10	0:44:05	1:25:14	1:07:51
141	315	益田 剛	25		3:17:30	0:36:08	1:28:37	1:12:45
142	383	田中 隆広	49		3:18:00	0:43:15	1:31:02	1:03:43
143	330	佐藤 誠	58		3:18:23	0:46:39	1:31:27	1:00:17
144	334	志方 達哉	42		3:19:11	0:48:23	1:32:36	0:58:12
145	254	松本 浩孝	29		3:19:43	0:54:04	1:30:29	0:55:10
146	393	長谷川 誠治	50		3:20:27	0:45:01	1:28:52	1:06:34
147	305	堀田 克明	28		3:20:33	0:39:13	1:37:00	1:04:20
148	296	伊藤 圭	24		3:20:48	0:42:52	1:28:54	1:09:02
149	387	長田 耕治	56	海ガメBROS	3:21:16	0:43:34	1:34:15	1:03:27
150	232	宿利 保章	44	Choose to Fight!!	3:21:47	0:46:37	1:31:30	1:03:40
151	290	丸山 知紀	45		3:22:16	0:44:35	1:35:01	1:02:40
152	265	田港 朝和	24		3:23:14	0:44:07	1:29:52	1:09:15
153	361	大槻 光	38	OMRUN	3:23:45	0:46:25	1:37:36	0:59:44
154	326	宮野 直規	49		3:24:05	0:50:08	1:38:44	0:55:13
155	259	齋藤 和孝	54		3:24:51	0:51:01	1:25:52	1:07:58
156	375	山原 寛基	45		3:26:13	0:41:50	1:32:35	1:11:48
157	417	田中 淳	30	共栄社化学株式会社	3:26:40	0:49:45	1:33:57	1:02:58
158	344	田中 千暁	23		3:26:46	0:42:44	1:31:17	1:12:45
159	343	田中 雅之	47		3:26:50	0:47:08	1:35:42	1:04:00
160	377	野村 健一郎	47		3:27:30	0:51:03	1:38:21	0:58:06
161	225	神田 隆司	39	打ち上げまでがトライアスロン	3:27:41	0:48:30	1:30:37	1:08:34
162	321	井原 理博	43		3:27:48	0:47:33	1:24:32	1:15:43
163	262	橋 由博	43	ストラーダトライアスロンクラブ	3:27:53	0:38:55	1:29:12	1:19:46
164	256	妹尾 吾一	55		3:28:32	0:58:08	1:34:32	0:55:52
165	207	齋藤 尋	22	打ち上げまでがトライアスロン	3:29:30	0:48:35	1:16:43	1:24:12
166	363	阿部 正純	40		3:30:56	0:50:15	1:38:21	1:02:20
167	346	彦坂 達也	37	くじら	3:31:49	0:43:52	1:37:15	1:10:42
168	227	田中 惟仁	26	コメノブPhoenix	3:33:26	0:43:58	1:29:31	1:19:57
169	280	若狭 孝太郎	56		3:34:07	0:46:40	1:24:39	1:22:48
170	328	大西 正浩	48		3:34:32	0:45:28	1:37:18	1:11:46
171	243	鎌倉 裕介	29		3:34:59	1:03:09	1:33:27	0:58:23
172	206	田野原 寿	41	打ち上げまでがトライアスロン	3:35:26	0:56:49	1:28:59	1:09:38
173	329	前川 博輝	48		3:37:16	0:54:22	1:36:53	1:06:01
174	390	寺本 卓司	63	クラブ フリーク	3:42:33	0:39:23	1:40:43	1:22:27
175	379	松本 悦典	47		3:43:02	0:47:02	1:42:28	1:13:32
176	389	久原 忠	60		3:44:26	0:44:02	1:40:47	1:19:37
177	333	宮本 一平	40		3:44:46	0:46:20	1:30:31	1:27:55
178	253	浜口 義一	57		3:45:19	0:49:50	1:26:06	1:29:23
179	246	竹田 典裕	49	MRC	3:45:46	0:59:34	1:39:01	1:07:11
180	385	原口 知則	53		3:46:22	0:46:33	1:34:28	1:25:21
181	309	辻野 亮	31		3:49:19	0:43:52	1:33:52	1:31:35
182	349	小林 亮	23		3:50:20	0:50:00	1:53:13	1:07:07
183	212	山本 修	42		3:52:36	0:39:16	1:45:02	1:28:18
184	274	廣瀬 康彦	49		3:53:34	0:47:07	1:44:18	1:22:09
185	314	上原 康史	35		3:55:40	1:04:14	1:39:04	1:12:22
186	258	加田 隆裕	45		3:56:39	0:46:03	1:38:56	1:31:40
187	240	横山 孝	69		3:56:49	0:42:29	1:55:02	1:19:18
188	386	松澤 隆	56		4:13:16	1:21:59	1:28:54	1:22:23
189	221	嶋田 圭次	52		4:14:58	0:54:41	1:45:55	1:34:22
190	323	安原 康司	39		4:20:53	0:47:37	1:42:58	1:50:18
191	312	大塚 仁	51		4:31:38	0:44:58	2:16:44	1:29:56
192	411	石毛 健二	43		4:37:58	0:50:56	2:45:47	1:01:15
193	204	大歳 正宏	52	打ち上げまでがトライアスロン?	4:47:21	0:43:39	2:01:22	2:02:20
194	391	下岡 耕三	64		4:58:14	1:03:17	2:07:37	1:47:20
1	464	木下 遥奈	23		2:34:46	0:27:03	1:18:54	0:48:49
2	460	平井 紬希	18	同志社大学	2:47:59	0:30:50	1:25:56	0:51:13
3	458	高橋 佳那	28	チームアクオード	2:49:09	0:40:21	1:19:00	0:49:48
4	468	吉田 加奈	47	生涯トライアスロン！	2:50:14	0:35:48	1:21:25	0:53:01
5	457	朝倉 法子	35		2:56:07	0:29:30	1:29:36	0:57:01
6	462	若園 依未	26		3:05:25	0:32:40	1:37:31	0:55:14
7	463	清水 絢子	42	チームAST	3:06:40	0:35:17	1:26:45	1:04:38
8	455	坂口 朝佳	36		3:19:32	0:38:50	1:35:29	1:05:13
9	461	口羽 祥子	43		3:26:32	0:35:17	1:31:24	1:19:51
10	467	北谷 藍	33	チーム アクオード	3:29:21	0:31:48	1:30:47	1:26:46
11	465	森本 弥生	50		3:48:02	0:52:46	1:37:36	1:17:40
