総合順位	No.	氏名	年齢	性別	所属・登録	総合記録	ｽｲﾑﾗｯﾌﾟ	T1	ﾊﾞｲｸﾗｯﾌﾟ	ﾗﾝﾗｯﾌﾟ	男子	女子	年齢区分	年齡別順
1	32	池 隆礼	33	男	沖縄県	2:05:24	0:19:43	0:02:02	1:06:29	0:37:10	1		30-34男子	
2	1	山本 淳一	51	男	千葉県	2:11:05	0:19:08	0:01:40	1:04:11	0:46:06	2		50-54男子	
3	97	壁谷 華太	26	男	東京都	2:11:15	0:22:00	0:01:54	1:05:53	0:41:28	3		25-29男子	
4	43	大井 智仁	26	男	東京都	2:11:21	0:21:07	0:02:10	1:05:33	0:42:31	4		25-29男子	1
5	98	古謝 孝明	30	男	北海道	2:12:42	0:19:12	0:02:18	1:05:21	0:45:51	5		30-34男子	1
6	33	清水 哲平	42	男	大阪府	2:12:54	0:20:56	0:01:58	1:05:57	0:44:03	6		40-44男子	1
7	99	安田 大河	24	男	学連	2:13:25	0:19:29	0:02:05	1:08:15	0:43:36	7		20-24男子	1
8	3	権田 明寛	29	男	香川県	2:13:42	0:23:50	0:02:20	1:06:00	0:41:32	8		25-29男子	2
9	5	後藤 謙仁	44	男	岐阜県	2:17:47	0:23:51	0:01:54	1:07:45	0:44:17	9		40-44男子	2
10	38	土田 洋平	45	男	岐阜県	2:17:54	0:23:02	0:02:26	1:05:07	0:47:19	10		45-49男子	1
11	79	吉田 拓也	47	男	愛知県	2:18:15	0:24:31	0:02:04	1:09:00	0:42:40	11		45-49男子	2
12	4	梅田 裕也	41	男	沖縄県	2:19:39	0:19:29	0:02:24	1:09:25	0:48:21	12		40-44男子	3
13	2019	仲宗根 航大	26	男	神奈川県	2:19:50	0:25:15	0:02:44	1:11:22	0:40:29	13		25-29男子	3
14	34	松原 和昭	47	男	山口県	2:19:54	0:26:33	0:02:26	1:09:27	0:41:28	14		45-49男子	3
15	105	小竹 佑治	36	男	大阪府	2:20:28	0:25:12	0:02:31	1:08:45	0:44:00	15		35-39男子	1
16	106	渡守 爽太郎	23	男	学連	2:22:08	0:22:19	0:02:28	1:13:06	0:44:15	16		20-24男子	2
17	57	松本 淳弥	24	男	兵庫県	2:22:39	0:23:14	0:02:41	1:15:17	0:41:27	17		20-24男子	3
18	13	山田 梓	28	女	島根県	2:23:10	0:19:18	0:01:53	1:14:03	0:47:56		1	25-29女子	
19	96	内栫 将司	30	男	熊本県	2:23:22	0:20:52	0:02:06	1:14:19	0:46:05	18		30-34男子	2
20	41	鮎澤 貴孝	41	男	神奈川県	2:23:26	0:21:29	0:02:44	1:08:13	0:51:00	19		40-44男子	4
21	2089	馬場 啓匠	22	男	福岡県	2:23:42	0:26:03	0:02:16	1:11:00	0:44:23	20		20-24男子	4
22	31	筒井 佑	35	男	佐賀県	2:23:47	0:19:30	0:01:50	1:14:26	0:48:01	21		35-39男子	2
23	75	渡辺 誉史	42	男	茨城県	2:23:54	0:23:14	0:02:43	1:10:36	0:47:21	22		40-44男子	5
24	28	小橋川 碧	28	男	沖縄県	2:23:57	0:23:02	0:02:34	1:16:01	0:42:20	23		25-29男子	4
25	80	金子 勝紀	54	男	埼玉県	2:24:23	0:28:50	0:02:10	1:08:30	0:44:53	24		50-54男子	1
26	50	須田 皐太	34	男	東京都	2:24:56	0:23:46	0:03:00	1:12:49	0:45:21	25		30-34男子	3
27	2044	木場 晴紀	22	男	学連	2:25:01	0:25:57	0:02:33	1:10:45	0:45:46	26		20-24男子	5
28	53	菅沼 伸哉	42	男	沖縄県	2:25:31	0:23:27	0:02:37	1:14:21	0:45:06	27		40-44男子	6
29	3001	清水 匠ﾊﾟｽｶﾙ	23	男	福岡県	2:26:28	0:26:47	0:02:17	1:09:13	0:48:11	28		20-24男子	6
30	14	蔵本 葵	36	女	東京都	2:27:01	0:22:18	0:01:59	1:17:32	0:45:12		2	35-39女子	
31	29	山下 陽裕	31	男	埼玉県	2:27:29	0:19:21	0:02:04	1:13:29	0:52:35	29		30-34男子	4
32	2103	澁谷 有樹	45	男	東京都	2:27:30	0:27:59	0:02:54	1:09:47	0:46:50	30		45-49男子	4
33	55	岩渕 祥司	50	男	愛知県	2:27:57	0:23:30	0:02:46	1:06:31	0:55:10	31		50-54男子	2
34	3081	早崎 悠揮	31	男	大阪府	2:27:59	0:27:46	0:02:13	1:11:22	0:46:38	32		30-34男子	5
35	5040	Riedel Jannis	30	男	GERMANY	2:29:14	0:28:53	0:03:50	1:12:21	0:44:10	33		30-34男子	6
36	2006	長井 建郎	40	男	東京都	2:29:15	0:26:19	0:02:36	1:13:47	0:46:33	34		40-44男子	7
37	3034	田中 大祐	38	男	愛媛県	2:30:13	0:28:19	0:03:04	1:16:01	0:42:49	35		35-39男子	3
38	45	鈴木 吉昭	46	男	東京都	2:30:28	0:23:07	0:02:51	1:14:08	0:50:22	36		45-49男子	5
39	65	ﾎﾘﾃﾞｲ ﾁｬﾄﾞ	41	男	沖縄県	2:30:37	0:23:43	0:03:47	1:14:52	0:48:15	37		40-44男子	8
40	2091	大田 悌士	41	男	沖縄県	2:30:37	0:24:30	0:02:32	1:15:44	0:47:51	38		40-44男子	9
41	12	加来 奈津子	40	女	東京都	2:30:47	0:21:35	0:02:12	1:19:44	0:47:16		3	40-44女子	
42	2097	田島 慎吾	51	男	千葉県	2:31:29	0:27:17	0:02:14	1:12:51	0:49:07	39		50-54男子	3
43	3047	多田 将英	49	男	東京都	2:31:39	0:27:54	0:03:01	1:14:17	0:46:27	40		45-49男子	6
44	2110	鈴木 啓	37	男	兵庫県	2:31:46	0:27:29	0:03:17	1:13:37	0:47:23	41		35-39男子	4
45	2090	上地 弘起	37	男	東京都	2:31:53	0:27:51	0:02:57	1:11:17	0:49:48	42		35-39男子	5
46	59	惠﨑 拓真	26	男	佐賀県	2:32:26	0:24:50	0:02:39	1:15:41	0:49:16	43		25-29男子	5
47	7	阿部 知史	53	男	沖縄県	2:32:32	0:28:39	0:02:48	1:14:57	0:46:08	44		50-54男子	4
48	51	棚網 宏之	40	男	東京都	2:32:34	0:21:22	0:03:02	1:17:00	0:51:10	45		40-44男子	10
49	3046	太田 滋	48	男	東京都	2:32:42	0:26:52	0:02:48	1:12:06	0:50:56	46		45-49男子	7
50	87	丹野 憲仁	59	男	神奈川県	2:33:03	0:27:30	0:03:23	1:12:59	0:49:11	47		55-59男子	1
