総合順位	No.	氏名	所属／登録	YOB	U23	総合記録	スイム	T1	バイク	T2	ラン
37	35	大山 波琉	流通経済大学	2005	19	1:52:21	0:20:02	0:00:54	0:54:46	0:00:31	0:36:08
38	29	平石 祥汰	同志社大学	2003	20	1:52:57	0:18:44	0:00:56	0:53:40	0:00:41	0:38:56
39	20	倉本 倫太郎	早稲田大学 ・ I-STORM	2005	21	1:53:12	0:19:56	0:00:58	0:57:08	0:00:30	0:34:40
40	13	徳山 哲平	ビースタイルホールディングス/千葉	2002	22	1:54:01	0:18:43	0:01:01	0:53:32	0:00:33	0:40:12
41	55	松井 麟太郎	日本体育大学	2006	23	1:54:08	0:19:59	0:00:53	0:57:13	0:00:30	0:35:33
42	25	谷本 結太	広島県トライアスロン協会	2000		1:54:14	0:20:14	0:00:59	0:57:27	0:00:34	0:35:00
43	49	松浦 達也	広島県トライアスロン協会	1997		1:54:20	0:20:03	0:00:56	0:57:02	0:00:37	0:35:42
44	52	岩井 悠二	静岡県トライアスロン協会	2002	24	1:54:21	0:20:00	0:00:54	0:57:14	0:00:35	0:35:38
45	53	岡本 貫立	慶應義塾大学	2003	25	1:54:29	0:20:02	0:00:54	0:55:48	0:00:33	0:37:12
46	57	森 優太	日本大学	2005	26	1:56:00	0:18:38	0:00:59	0:55:15	0:00:39	0:40:29
47	37	本木 蔵人	日本体育大学	2005	27	1:56:21	0:20:08	0:00:58	0:57:29	0:00:43	0:37:03
48	31	中島 大海	北海道大学	2001		1:56:47	0:19:57	0:00:57	0:57:10	0:00:36	0:38:07
49	48	小田 陸人	立命館大学	2002	28	1:56:50	0:21:12	0:00:54	0:56:29	0:00:33	0:37:42
50	42	富内 檀	神奈川県トライアスロン連合	1994		1:59:06	0:19:17	0:00:55	0:56:45	0:00:38	0:41:31
51	58	植野 恭介	近畿大学	2005	29	1:59:07	0:18:41	0:00:57	0:57:44	0:00:45	0:41:00
52	41	韮澤 由吏	新潟県トライアスロン連合	2001		2:00:31	0:21:10	0:01:00	0:56:58	0:01:29	0:39:54
53	51	春名 峻瑛	同志社大学	2004	30	2:02:13	0:19:21	0:00:56	0:58:10	0:00:47	0:42:59
DNF	21	湯村 天星	富信・ASC・ST/岐阜	1999			0:18:45	0:00:55			
LAP	30	桶谷 祐輝	E-Grow・remiu/愛知	1988			0:20:27	0:00:57			
LAP	36	田中 聡	トライアスロンフクオカ	1999			0:21:44	0:00:57			
LAP	38	岩月 駿介	広島大学	2003			0:23:35	0:00:54			
LAP	39	近藤 浄士	福島大学	2003			0:22:00	0:00:51			
LAP	59	佐藤 遥	神奈川県トライアスロン連合	2007			0:20:11	0:01:00			
