総合順位	No.	氏名	カナ	年齢	性別	総合記録	ラン1ラップ	R1順	T1ラップ	T1順	バイクラップ	B順	スプリット	通過	T2ラップ	T2順	ラン2ラップ	R2順	年代区分	年代順位
64	1342	清水 慎一	ｼﾐｽﾞ ｼﾝｲﾁ	25	男	2:06:58	0:05:36	32	0:01:24	15	1:10:37	134	1:17:37	91	0:01:47	31	0:47:34	66	男子25-29歳	5
64	114	笠見 采可	ｶｻﾐ ｱﾔｶ	20	女	2:58:41	0:07:45	24	0:02:28	30	1:30:48	60	1:41:01	59	0:03:34	44	1:14:06	68	女子24歳以下	14
65	1748	松山 昌司	ﾏﾂﾔﾏ ﾏｻｼ	34	男	2:07:03	0:06:23	131	0:02:07	176	1:08:19	73	1:16:49	75	0:02:24	147	0:47:50	67	男子30-34歳	11
65	128	高木 薫	ﾀｶｷﾞ ｶｵﾙ	22	女	2:58:49	0:08:36	52	0:02:14	21	1:22:14	27	1:33:04	28	0:03:39	48	1:22:06	72	女子24歳以下	15
66	1698	山根 信吾	ﾔﾏﾈ ｼﾝｺﾞ	28	男	2:07:04	0:05:52	49	0:01:40	59	1:13:05	192	1:20:37	154	0:01:58	60	0:44:29	29	男子25-29歳	6
66	108	今村 瑛子	ｲﾏﾑﾗ ｱｷｺ	33	女	2:58:58	0:09:24	71	0:02:43	44	1:33:19	66	1:45:26	67	0:03:17	36	1:10:15	57	女子30-34歳	9
67	1640	皆川 貴行	ﾐﾅｶﾞﾜ ﾀｶﾕｷ	41	男	2:07:26	0:06:31	149	0:01:44	71	1:08:08	69	1:16:23	70	0:01:51	46	0:49:12	94	男子40-44歳	5
67	185	Hanazawa Aya	ﾊﾅｻﾞﾜ ｱﾔ	39	女	2:59:07	0:09:44	74	0:04:24	78	1:25:40	41	1:39:48	53	0:05:22	73	1:13:57	66	女子35-39歳	12
68	1654	宮野 雄弘	ﾐﾔﾉ ﾀｹﾋﾛ	22	男	2:07:36	0:05:54	54	0:01:26	21	1:08:36	78	1:15:56	62	0:01:53	54	0:49:47	108	男子24歳以下	27
68	157	本間 明子	ﾎﾝﾏ ｱｷｺ	39	女	2:59:11	0:09:06	67	0:03:26	65	1:30:48	60	1:43:20	65	0:03:36	46	1:12:15	62	女子35-39歳	13
69	1779	YUJI HIKICHI	ﾕｳｼﾞ ﾋｷﾁ	21	男	2:07:41	0:06:04	81	0:01:30	31	1:05:30	30	1:13:04	29	0:01:58	60	0:52:39	185	男子24歳以下	28
69	165	山下 基子	ﾔﾏｼﾀ ﾓﾄｺ	47	女	3:02:12	0:08:40	55	0:03:54	74	1:27:44	49	1:40:18	56	0:05:10	71	1:16:44	71	女子45-49歳	8
70	1770	長尾 星史朗	ﾅｶﾞｵ ｾｲｼﾛｳ	20	男	2:08:04	0:06:18	119	0:01:44	71	1:07:50	63	1:15:52	61	0:02:12	94	0:50:00	115	男子24歳以下	29
70	150	藤田 桜	ﾌｼﾞﾀ ｻｸﾗ	19	女	3:03:22	0:08:41	57	0:02:19	22	1:45:27	79	1:56:27	79	0:02:33	19	1:04:22	44	女子24歳以下	16
71	1283	古宮 聡	ｺﾐﾔ ｻﾄｼ	51	男	2:08:10	0:06:26	140	0:02:10	192	1:11:01	143	1:19:37	130	0:02:23	141	0:46:10	47	男子50-54歳	6
71	148	福山 夏実	ﾌｸﾔﾏ ﾅﾂﾐ	26	女	3:05:32	0:09:10	68	0:02:45	48	1:34:14	69	1:46:09	69	0:04:12	64	1:15:11	70	女子25-29歳	4
72	1614	増田 貴史	ﾏｽﾀﾞ ﾀｶｼ	47	男	2:08:10	0:05:59	65	0:01:45	74	1:10:26	124	1:18:10	103	0:02:09	86	0:47:51	68	男子45-49歳	8
72	145	橋本 歩惟	ﾊｼﾓﾄ ｱｲ	33	女	3:05:57	0:08:01	35	0:02:41	42	1:39:10	77	1:49:52	73	0:03:50	54	1:12:15	62	女子30-34歳	10
73	1436	ﾁｪﾙﾊﾞｰｸﾞ ｽﾃｨｰﾌﾞﾝ	ﾁｪﾙﾊﾞｰｸﾞ ｽﾃｨｰﾌﾞﾝ	62	男	2:08:15	0:06:43	202	0:02:33	349	1:06:09	34	1:15:25	56	0:03:34	461	0:49:16	97	男子60-64歳	1
73	116	加藤 めぐみ	ｶﾄｳ ﾒｸﾞﾐ	51	女	3:08:31	0:09:41	73	0:03:34	68	1:37:12	73	1:50:27	74	0:04:02	60	1:14:02	67	女子50-54歳	8
74	1271	小谷 亮太	ｺﾀﾆ ﾘｮｳﾀ	43	男	2:08:18	0:06:19	122	0:02:13	216	1:07:34	56	1:16:06	66	0:02:23	141	0:49:49	109	男子40-44歳	6
74	113	大日方 忍	ｵﾋﾞﾅﾀ ｼﾉﾌﾞ	47	女	3:12:26	0:08:46	59	0:03:40	70	1:26:38	46	1:39:04	49	0:03:56	57	1:29:26	75	女子45-49歳	9
75	1741	小川 和宏	ｵｶﾞﾜ ｶｽﾞﾋﾛ	46	男	2:08:19	0:06:09	92	0:01:59	128	1:09:07	93	1:17:15	80	0:02:19	127	0:48:45	83	男子45-49歳	9
75	131	高野 なおみ	ﾀｶﾉ ﾅｵﾐ	55	女	3:26:17	0:09:50	78	0:03:48	72	1:35:12	70	1:48:50	70	0:04:16	65	1:33:11	78	女子55-59歳	3
76	1613	増子 昂汰郎	ﾏｽｺ ｺｳﾀﾛｳ	20	男	2:08:23	0:05:39	35	0:01:37	51	1:09:33	105	1:16:49	76	0:01:59	63	0:49:35	104	男子24歳以下	30
